#         t          x          y          z         vx         vy         vz
      0.000     98.560    119.990    127.760     28.430   -173.920    -93.230
      0.100    101.016    102.167    117.958     20.681   -182.546   -102.806
      0.200    102.595     83.466    107.135     10.900   -191.463   -113.664
      0.300    103.059     63.872     95.150     -1.616   -200.430   -126.034
      0.400    102.085     43.404     81.842    -17.858   -208.923   -140.128
      0.500     99.234     22.165     67.035    -39.163   -215.862   -155.999
      0.600     93.921      0.415     50.576    -67.107   -219.129   -173.183
      0.700     85.429    -21.290     32.421   -102.725   -214.983   -189.917
      0.800     73.083    -41.962     12.820   -144.186   -198.439   -202.112
      0.900     56.682    -60.244     -7.493   -183.845   -167.203   -204.139
      1.000     36.927    -74.985    -27.375   -211.242   -127.624   -193.516
      1.100     15.187    -85.845    -45.845   -223.572    -89.574   -175.879
      1.200     -7.240    -93.232    -62.472   -224.966    -58.164   -156.666
      1.300    -29.502    -97.830    -77.241   -220.280    -33.798   -138.705
      1.400    -51.151   -100.279    -90.319   -212.699    -15.177   -122.856
      1.500    -71.984   -101.081   -101.918   -203.950     -0.870   -109.126
      1.600    -91.927   -100.611   -112.237   -194.904     10.262    -97.253
      1.700   -110.971    -99.146   -121.447   -185.981     19.047    -86.936
      1.800   -129.139    -96.890   -129.688   -177.373     26.075    -77.900
      1.900   -146.465    -93.998   -137.079   -169.157     31.765    -69.922
      2.000   -162.991    -90.589   -143.716   -161.352     36.420    -62.818
      2.100   -178.756    -86.755   -149.680   -153.949     40.262    -56.444
      2.200   -193.799    -82.569   -155.036   -146.925     43.455    -50.683
      2.300   -208.158    -78.090   -159.842   -140.253     46.121    -45.443
      2.400   -221.866    -73.366   -164.147   -133.904     48.358    -40.648
      2.500   -234.954    -68.436   -167.991   -127.850     50.237    -36.235
      2.600   -247.449    -63.334   -171.411   -122.065     51.817    -32.156
      2.700   -259.379    -58.085   -174.437   -116.524     53.144    -28.366
      2.800   -270.765    -52.715   -177.097   -111.206     54.256    -24.832
      2.900   -281.630    -47.244   -179.414   -106.091     55.181    -21.524
      3.000   -291.993    -41.687   -181.411   -101.161     55.946    -18.416
      3.100   -301.871    -36.061   -183.107    -96.400     56.569    -15.487
      3.200   -311.280    -30.380   -184.517    -91.793     57.068    -12.720
      3.300   -320.236    -24.653   -185.658    -87.327     57.457    -10.097
      3.400   -328.752    -18.893   -186.543    -82.990     57.748     -7.605
      3.500   -336.840    -13.108   -187.185    -78.772     57.951     -5.231
      3.600   -344.512     -7.307   -187.594    -74.663     58.074     -2.967
      3.700   -351.778     -1.497   -187.783    -70.654     58.125     -0.801
      3.800   -358.647      4.315   -187.759    -66.736     58.110      1.274
      3.900   -365.129     10.122   -187.532    -62.903     58.033      3.266
      4.000   -371.232     15.919   -187.110    -59.146     57.900      5.181
      4.100   -376.962     21.699   -186.500    -55.461     57.715      7.024
      4.200   -382.327     27.459   -185.708    -51.841     57.481      8.802
      4.300   -387.333     33.193   -184.742    -48.281     57.200     10.519
      4.400   -391.986     38.897   -183.607    -44.776     56.876     12.180
      4.500   -396.291     44.566   -182.309    -41.320     56.510     13.787
      4.600   -400.253     50.197   -180.852    -37.909     56.104     15.345
      4.700   -403.875     55.785   -179.242    -34.540     55.660     16.857
      4.800   -407.162     61.327   -177.483    -31.208     55.179     18.325
      4.900   -410.118     66.819   -175.579    -27.910     54.662     19.753
      5.000   -412.746     72.258   -173.534    -24.641     54.109     21.143
      5.100   -415.048     77.639   -171.352    -21.399     53.522     22.496
      5.200   -417.027     82.961   -169.037    -18.180     52.901     23.816
      5.300   -418.685     88.218   -166.591    -14.981     52.246     25.104
      5.400   -420.024     93.408   -164.018    -11.798     51.556     26.361
      5.500   -421.045     98.527   -161.320     -8.630     50.833     27.589
      5.600   -421.750    103.573   -158.501     -5.472     50.076     28.790
      5.700   -422.140    108.541   -155.563     -2.322     49.284     29.965
      5.800   -422.215    113.428   -152.509      0.823     48.458     31.115
      5.900   -421.975    118.231   -149.341      3.966     47.595     32.242
      6.000   -421.422    122.945   -146.062      7.109     46.696     33.345
      6.100   -420.553    127.568   -142.673     10.256     45.760     34.427
      6.200   -419.370    132.095   -139.178     13.409     44.785     35.488
      6.300   -417.871    136.523   -135.577     16.571     43.771     36.528
      6.400   -416.055    140.847   -131.873     19.745     42.715     37.549
      6.500   -413.921    145.064   -128.068     22.935     41.616     38.551
      6.600   -411.468    149.168   -124.164     26.143     40.473     39.534
      6.700   -408.692    153.156   -120.162     29.371     39.283     40.499
      6.800   -405.592    157.022   -116.065     32.625     38.043     41.445
      6.900   -402.165    160.762   -111.874     35.906     36.752     42.374
      7.000   -398.409    164.370   -107.591     39.219     35.407     43.286
      7.100   -394.320    167.841   -103.218     42.567     34.004     44.179
      7.200   -389.894    171.168    -98.756     45.955     32.539     45.055
      7.300   -385.127    174.345    -94.208     49.385     31.010     45.912
      7.400   -380.014    177.366    -89.575     52.863     29.411     46.751
      7.500   -374.552    180.224    -84.858     56.393     27.739     47.570
      7.600   -368.733    182.910    -80.062     59.980     25.986     48.369
      7.700   -362.552    185.417    -75.186     63.629     24.148     49.148
      7.800   -356.004    187.735    -70.233     67.346     22.218     49.904
      7.900   -349.080    189.855    -65.206     71.137     20.188     50.636
      8.000   -341.772    191.767    -60.107     75.009     18.049     51.343
      8.100   -334.073    193.459    -54.939     78.969     15.792     52.021
      8.200   -325.974    194.919    -49.704     83.024     13.406     52.669
      8.300   -317.463    196.133    -44.407     87.184     10.878     53.282
      8.400   -308.531    197.087    -39.050     91.456      8.194     53.857
      8.500   -299.166    197.763    -33.638     95.852      5.337     54.388
      8.600   -289.354    198.145    -28.175    100.383      2.289     54.870
      8.700   -279.082    198.211    -22.666    105.061     -0.972     55.295
      8.800   -268.334    197.938    -17.119    109.900     -4.474     55.653
      8.900   -257.093    197.302    -11.540    114.913     -8.245     55.934
      9.000   -245.342    196.274     -5.937    120.119    -12.323     56.123
      9.100   -233.059    194.820     -0.321    125.534    -16.750     56.202
      9.200   -220.223    192.904      5.296    131.178    -21.577     56.132
      9.300   -206.811    190.482     10.898    137.070    -26.868     55.897
      9.400   -192.796    187.503     16.466    143.234    -32.697     55.462
      9.500   -178.150    183.911     21.978    149.689    -39.161     54.779
      9.600   -162.842    179.634     27.406    156.457    -46.376     53.782
