#         t          x          y          z         vx         vy         vz
      0.000    -98.600   -119.990   -127.780    -28.430    173.920     93.230
      0.100   -101.052   -102.218   -118.008    -20.616    181.522    102.203
      0.200   -102.625    -83.677   -107.281    -10.845    189.290    112.337
      0.300   -103.091    -64.365    -95.473      1.529    196.964    123.824
      0.400   -102.144    -44.315    -82.441     17.405    204.024    136.826
      0.500    -99.375    -23.642    -68.032     37.978    209.449    151.356
      0.600    -94.244     -2.603    -52.115     64.654    211.319    166.982
      0.700    -86.088     18.278    -34.656     98.462    206.303    182.193
      0.800    -74.253     38.082    -15.872    138.238    189.777    193.490
      0.900    -58.449     55.503      3.583    177.836    158.635    195.603
      1.000    -39.208     69.287     22.592    206.985    117.057    184.575
      1.100    -17.832     78.881     40.064    220.545     74.815    164.870
      1.200      4.260     84.554     55.420    221.289     38.651    142.250
      1.300     26.039     86.993     68.552    214.280     10.131    120.388
      1.400     46.919     86.914     79.605    203.320    -11.715    100.679
      1.500     66.615     84.910     88.806    190.618    -28.374     83.345
      1.600     85.013     81.434     96.383    177.330    -41.135     68.178
      1.700    102.081     76.829    102.535    164.033    -50.975     54.862
      1.800    117.832     71.350    107.432    150.997    -58.598     43.095
      1.900    132.299     65.195    111.218    138.337    -64.511     32.614
      2.000    145.520     58.515    114.009    126.089    -69.079     23.205
      2.100    157.537     51.433    115.904    114.244    -72.568     14.696
      2.200    168.388     44.046    116.986    102.779    -75.174      6.949
      2.300    178.110     36.435    117.326     91.657    -77.044     -0.148
      2.400    186.735     28.668    116.984     80.843    -78.289     -6.685
      2.500    194.292     20.804    116.013     70.298    -78.992    -12.735
      2.600    200.806     12.894    114.459     59.987    -79.217    -18.358
      2.700    206.299      4.982    112.361     49.874    -79.014    -23.603
      2.800    210.790     -2.890    109.755     39.928    -78.420    -28.512
      2.900    214.292    -10.684    106.673     30.117    -77.464    -33.120
      3.000    216.818    -18.365    103.145     20.410    -76.166    -37.455
      3.100    218.378    -25.901     99.195     10.777    -74.542    -41.545
      3.200    218.976    -33.258     94.847      1.186    -72.600    -45.410
      3.300    218.615    -40.405     90.123     -8.398    -70.342    -49.071
      3.400    217.295    -47.310     85.042    -18.011    -67.765    -52.545
      3.500    215.009    -53.941     79.622    -27.692    -64.856    -55.846
      3.600    211.751    -60.264     73.881    -37.487    -61.596    -58.984
      3.700    207.504    -66.241     67.833    -47.444    -57.954    -61.966
      3.800    202.251    -71.833     61.495    -57.616    -53.886    -64.793
      3.900    195.967    -76.994     54.883    -68.066    -49.337    -67.462
      4.000    188.621    -81.673     48.011    -78.858    -44.231    -69.961
      4.100    180.174    -85.808     40.900    -90.071    -38.470    -72.268
      4.200    170.581    -89.328     33.569   -101.790    -31.923    -74.347
      4.300    159.786    -92.145     26.045   -114.116    -24.421    -76.143
      4.400    147.722    -94.152     18.359   -127.162    -15.730    -77.570
      4.500    134.311    -95.216     10.556   -141.058     -5.535    -78.496
